id_venda;id_cliente;id_produto;quantidade;preco_total;data_venda;canal_venda;status_venda
c4c11103-485a-471d-aa45-266aaa58b5c3;885b10ca-f82d-456f-ada7-96533e137139;prod_42;2;199.98;18/03/2025;site;concluída
35f2c7e8-2e05-4998-93d7-da1aa164d60a;04fb552a-0fec-4d63-b723-92cc4751fb62;prod_21;4;119.96;06/05/2025;marketplace;concluída
830e6e5f-e8d0-4afc-8dd9-8aa481e0b1c3;ef8e43de-4685-4959-a0ff-f64a1fb2005e;prod_38;4;150.0;15/03/2025;marketplace;concluída
62e91579-cc39-4892-b5a2-fa5c3aa76c81;34bef5c3-1c9d-409a-9dba-43caaa482b13;prod_46;5;899.95;24/03/2025;marketplace;concluída
75d59714-cb50-481a-9203-4988993437f3;df79fc56-35af-472d-ae63-fb4379a54d4c;prod_3;1;899.99;13/01/2025;site;concluída
2578f4fe-bbcb-4ccd-b729-de66fac430af;8d71a51a-329b-4852-b87c-38cf1b9e8a8f;prod_50;4;480.0;13-ghi-2009;site;concluída
07bc5582-a667-4ebe-bfeb-1fe7d4bd13b1;dd25d4ab-539f-41a1-94be-55bc32586833;prod_44;3;449.97;12/04/2025;site;concluída
c5a5d8f2-8825-4b5a-ba5a-d5b4d71c636d;4ae19ba7-417f-4350-aeb2-7d2b816f40d5;prod_35;5;149.95;05/03/2025;site;concluída
26b4204b-c7e5-4988-9d32-2af95ab71dd6;a70a5d25-7543-4d82-864b-33aef4810319;prod_40;1;49.99;12/01/2025;marketplace;concluída
48cbbc0c-6ad3-4267-9dec-9768ba490340;3f601831-61ad-4a7b-9ffe-b0992e35be34;prod_19;2;160.0;28/03/2025;site;concluída
129c93a6-b3a7-478e-86bb-4c4e9ff08568;cfee408f-3b0b-48a4-aded-c047608038ed;prod_17;1;185.5;02/01/2025;marketplace;concluída
45dda3a1-b60e-4974-bf07-23f3187b3e78;aeb09015-de95-4115-9d0b-e918297ed048;prod_11;2;179.98;29/04/2025;marketplace;concluída
ec6d3dba-7fed-49da-a4e6-03e21495ebe6;54176560-0e5c-4be9-a920-e75e3d305972;prod_45;2;179.98;04/04/2025;site;concluída
782ba2a2-14cd-4460-9afe-3932ccb52c9f;8fe9fcb9-b16a-4c49-b246-0b45697fe748;prod_4;5;2499.95;28/04/2025;site;cancelada
